"MSE","Model"
"0.14369472238376","Meld"
"0.155410810243845","Meld"
"0.160646612955302","Meld"
"0.177351653124281","Meld"
"0.149292813010033","Meld"
"0.15485912376878","Meld"
"0.165905655374387","Meld"
"0.147148729028287","Meld"
"0.186528959994744","Meld"
"0.144890331251109","Meld"
"0.170782645587343","Meld"
"0.157489766584764","Meld"
"0.160965517551163","Meld"
"0.173089464709013","Meld"
"0.165729573490062","Meld"
"0.156973652424012","Meld"
"0.147325408790057","Meld"
"0.157375488755774","Meld"
"0.159064047252791","Meld"
"0.172372623501712","Meld"
"0.177178557823321","Meld"
"0.171609101516608","Meld"
"0.146995422000528","Meld"
"0.19110762418363","Meld"
"0.192888090804444","Meld"
"0.190262119591232","Meld"
"0.157193956591025","Meld"
"0.151967965585981","Meld"
"0.158515841585212","Meld"
"0.175657267673324","Meld"
"0.182829511832066","Meld"
"0.150543421186256","Meld"
"0.154596428403127","Meld"
"0.180474568676768","Meld"
"0.163124313726462","Meld"
"0.175792078661917","Meld"
"0.128395339878892","Meld"
"0.150368251663258","Meld"
"0.143468296190254","Meld"
"0.16092280682325","Meld"
"0.165102409523779","Meld"
"0.156619174302476","Meld"
"0.182523009458379","Meld"
"0.178666572157904","Meld"
"0.170613673347259","Meld"
"0.149102666091042","Meld"
"0.164708614166991","Meld"
"0.148541848104059","Meld"
"0.151759725357797","Meld"
"0.168743726902738","Meld"
"0.149742663361732","Meld"
"0.152418511213029","Meld"
"0.157856533891817","Meld"
"0.180769511846388","Meld"
"0.158291745143441","Meld"
"0.162468175828608","Meld"
"0.165002812167701","Meld"
"0.151215751410888","Meld"
"0.135490751818178","Meld"
"0.128344243531429","Meld"
"0.157519773327071","Meld"
"0.185523967908438","Meld"
"0.172819389478871","Meld"
"0.165520496727797","Meld"
"0.174872917486651","Meld"
"0.147479762359026","Meld"
"0.152641926933423","Meld"
"0.148821493742364","Meld"
"0.155343442851958","Meld"
"0.172101887360284","Meld"
"0.145318560619744","Meld"
"0.17888026494018","Meld"
"0.155293352906903","Meld"
"0.151862060702461","Meld"
"0.198955202464081","Meld"
"0.164695656032719","Meld"
"0.167161702098475","Meld"
"0.175911420197201","Meld"
"0.136696051641373","Meld"
"0.170318815285408","Meld"
"0.193248444335917","Meld"
"0.162698770751159","Meld"
"0.184717461439955","Meld"
"0.143267495751735","Meld"
"0.152262142400025","Meld"
"0.16515763677161","Meld"
"0.163696214110492","Meld"
"0.160547798899791","Meld"
"0.156542377923792","Meld"
"0.150739082320992","Meld"
"0.155415898479413","Meld"
"0.155279652978974","Meld"
"0.151747008744682","Meld"
"0.155167101930103","Meld"
"0.177513023468808","Meld"
"0.143313526954889","Meld"
"0.163598429462123","Meld"
"0.137887800690615","Meld"
